scenario,comparator,recorded_pairs,expected_pairs,failed_pairs,interpretation,delta_rmse,delta_absolute_mean_bias,delta_peak_absolute_error,delta_bad_path_m,delta_valid_coverage_rate_m_s,delta_valid_coverage_fraction,delta_registered_image_coverage_m,delta_acoustic_coverage_fraction,delta_angular_travel_rad,delta_measured_forward_m,delta_elapsed_s,delta_force_active_fraction,delta_aperture_active_fraction,delta_omega_width_mechanical_mean,delta_omega_width_force_mean,delta_omega_width_complete_mean,delta_controller_p50_ms,delta_controller_p99_ms,delta_controller_max_ms,delta_simulated_deadline_overruns
wrong_direction,matched_scan_speed,10,10,1,descriptive recorded-pair differences; no inferential acceptance,0.0006112742264427345,0.002820790249884532,0.00018127198526589615,-3.2525269334071624e-05,1.0001985339288394e-05,0.0005420878222345271,-2.571342922579045e-07,0.0005420878222345271,-0.005964170405126803,0.0,0.0,0.7187170691197589,0.0,,,,0.5444422946311533,1.1059323828667402,1.388371898792684,0.0
wrong_direction,matched_rocking,10,10,1,descriptive recorded-pair differences; no inferential acceptance,-0.0008580913794113576,0.0029518155796807092,0.0018244014673732157,-0.0005193689930539439,-0.0001037832440725514,0.008656149884232401,0.0006798045552803535,0.008656149884232401,0.0009957738300404833,0.0,0.050999999999999844,0.7187170691197589,0.0,,,,0.5259623168967664,1.0430603597778825,1.1766335228458047,0.0
nonmonotonic,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0016629334654724658,0.0011707016684498483,0.004182611601374298,-0.0001395346525064782,-0.00037400753420393785,0.0023255775417746704,0.0005220653934743344,0.0028304679313225444,0.0034442916902267017,0.0,0.08099999999999992,0.7066814892564064,0.00028490028490028494,,,,0.69138219114393,1.3593031067866828,1.584853627718985,0.5
nonmonotonic,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.00047842265661363905,-0.00017216890335958914,-2.144000150243741e-05,-1.2149277092381172e-05,3.6266134050239735e-06,0.00020248795153969822,-9.012780533158779e-05,-0.0008703100796105479,0.002096902823270037,0.0,0.0,0.7066814892564064,0.00028490028490028494,,,,0.6922496249899268,1.3131348981987683,1.571664703078568,0.5
nonmonotonic,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0016665793037145076,0.0011255057475910261,0.004134259410858832,-0.00041953465250647165,-0.00028811796365179265,0.006992244208441212,0.001002065393474319,0.011330467931322308,0.004786151999141364,0.0,0.08099999999999992,0.7066814892564064,0.00028490028490028494,,,,0.6749365362338722,1.3331031834240998,1.4762146398425102,0.5
curvature,baseline,10,10,1,descriptive recorded-pair differences; no inferential acceptance,-0.0002829497375636203,-0.001598512593782138,-0.0015273069261268369,0.0,-0.0001895362352724958,0.0,4.706504375792953e-05,0.0,0.00023855159104215856,0.0,0.03399999999999985,0.6622241566095826,0.00015105740181268882,,,,0.4745660233311355,1.2393889748491305,1.7192929284647107,0.1
curvature,matched_scan_speed,10,10,1,descriptive recorded-pair differences; no inferential acceptance,0.00012723872383582359,-0.001751340454991062,-0.0002714336463414124,0.0,0.0,0.0,-6.631777515524184e-07,0.0,0.00023855159104215856,0.0,0.0,0.6622241566095826,0.00015105740181268882,,,,0.4739568568766117,1.440471526235338,1.9457912305369973,0.1
curvature,matched_rocking,10,10,1,descriptive recorded-pair differences; no inferential acceptance,-0.0002829497375636203,-0.001598512593782138,-0.0015273069261268369,0.0,-0.0001895362352724958,0.0,4.706504375792953e-05,0.0,0.00023855159104215856,0.0,0.03399999999999985,0.6622241566095826,0.00015105740181268882,,,,0.4436176270246506,1.1219166433438617,1.454868703149259,0.1
moving_surface,baseline,10,10,1,descriptive recorded-pair differences; no inferential acceptance,-0.000197678750711755,0.0010885170678858985,-0.0001292309576060191,0.0,-0.00013119201481771384,0.0,0.0002574357808997799,0.0,0.00028228361116877095,0.0,0.023499999999999854,0.36434931327535086,0.0,,,,0.43070873944088817,0.8739388911053524,1.2414444470778108,0.0
moving_surface,matched_scan_speed,10,10,1,descriptive recorded-pair differences; no inferential acceptance,-0.0003043933105056185,0.0002773600461410033,1.3459029245810327e-05,0.0,0.0,0.0,1.6204745878489746e-13,0.0,0.00028228361116877095,0.0,0.0,0.36434931327535086,0.0,,,,0.4371365997940302,1.33230558503419,1.5578954014927149,0.0
moving_surface,matched_rocking,10,10,1,descriptive recorded-pair differences; no inferential acceptance,-0.000197678750711755,0.0010885170678858985,-0.0001292309576060191,0.0,-0.00013119201481771384,0.0,0.0002574357808997799,0.0,0.00028228361116877095,0.0,0.023499999999999854,0.36434931327535086,0.0,,,,0.4169983323663473,1.0261563062667833,1.3966778991743922,0.0
delayed_execution,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.00019216378454722793,-0.000976724432741112,0.02794317691843995,-8.324959469884e-05,-0.00022735232391284075,0.0013874932449806864,0.00040645166504534936,0.0013874932449806864,0.002834973399934855,0.0,0.048499999999999856,0.560708425957789,0.00015105740181268882,,,,0.5247548222541809,1.2140330560505397,1.5083471545949578,0.0
delayed_execution,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.0004372509087750498,0.002595047290148945,-0.002580188303292541,-1.609463394019253e-05,4.7829521367583755e-06,0.00026824389900323984,8.008640381696186e-05,0.00026824389900323984,0.0018654793207810785,0.0,0.0,0.560708425957789,0.00015105740181268882,,,,0.5136253661476076,1.3311810619197795,1.6070135170593858,0.0
delayed_execution,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.0001755081538146519,-0.0008507854333801624,0.02783346286551174,-0.0005532511450706837,-8.318006919755123e-05,0.009220852417844738,0.0008064596410902542,0.009220852417844738,0.00490230411009981,0.0,0.048499999999999856,0.560708425957789,0.00015105740181268882,,,,0.4979751422069967,0.9263084142003215,1.5086375176906586,0.0
hard_contact,baseline,10,10,4,descriptive recorded-pair differences; no inferential acceptance,-0.18748228012182142,-0.013554889282895045,-0.08187305598700437,0.006788407775828056,-0.0037782182667076315,-0.11314012959713426,-0.005222455560922141,-0.11314012959713426,0.14300522429797263,0.0,2.0554999999999994,0.4608551403593144,0.026979127181765733,,,,0.7294366252608597,1.4563808622770007,1.9698478281497955,0.1
hard_contact,matched_scan_speed,10,10,4,descriptive recorded-pair differences; no inferential acceptance,-0.006916006512635126,-0.03827047981526053,-0.0797062734544014,0.006995293271695358,-0.0013150530581090471,-0.11658822119492258,-0.006307928898127183,-0.11658822119492258,0.0645307195036419,0.0,0.0,0.4608551403593144,0.026979127181765733,,,,0.7648442173376679,1.6307188444770873,1.503994269296527,0.1
hard_contact,matched_rocking,10,10,4,descriptive recorded-pair differences; no inferential acceptance,-0.1985973726648674,-0.022075147882379423,-0.08187305598700437,0.01222840777582789,-0.005446929923149298,-0.2038067962637981,-0.010022455560921996,-0.2038067962637981,0.17493366358822623,0.0,2.0554999999999994,0.4608551403593144,0.026979127181765733,,,,0.7767618750222027,1.7546118083409965,2.1303066285327077,0.1
