scenario,seed,comparator,full_valid,comparator_valid,angular_travel_rad_ratio_to_full,angular_travel_rad_difference_from_full,scan_angular_travel_rad_ratio_to_full,scan_angular_travel_rad_difference_from_full,measured_positive_travel_m_ratio_to_full,measured_positive_travel_m_difference_from_full,measured_forward_m_ratio_to_full,measured_forward_m_difference_from_full,elapsed_s_ratio_to_full,elapsed_s_difference_from_full
both_edges,6,matched_rocking,True,True,0.0,-4.1894402229959696e-05,0.0,-4.189440222995976e-05,1.0004075278307056,2.4760048791053202e-05,1.0,0.0,0.9954198473282444,-0.01499999999999968
both_edges,7,matched_rocking,True,True,0.0,-3.042214167294151e-05,0.0,-3.0422141672452183e-05,1.0004365639027766,2.6523415077021884e-05,1.0,0.0,0.998468606431853,-0.004999999999999893
both_edges,8,matched_rocking,True,True,0.0,-2.9669028531121957e-05,0.0,-2.9669028526328055e-05,1.000607607660646,3.690885858065318e-05,1.0,0.0,0.998468606431853,-0.004999999999999893
both_edges,9,matched_rocking,True,True,0.0,-0.00011674043823880803,0.0,-0.00011570490621955327,1.0004489506457277,2.727563323150911e-05,1.0,0.0,0.9908814589665654,-0.029999999999999805
central_gap,0,matched_scan_speed,True,True,0.0,-0.00017735518585196625,0.0,-0.00017735518565495723,0.9999999999973349,-1.620439893379455e-13,1.0,0.0,1.0,0.0
central_gap,1,matched_scan_speed,True,True,0.0,-8.197396876777635e-05,0.0,-8.197396875643492e-05,0.999999999997334,-1.620439893379455e-13,1.0,0.0,1.0,0.0
central_gap,2,matched_scan_speed,True,True,0.0,-0.0003411455565026661,0.0,-0.0003411455561840693,0.9999999999973329,-1.620439893379455e-13,1.0,0.0,1.0,0.0
central_gap,3,matched_scan_speed,True,True,0.0,-0.0002663878361578426,0.0,-0.00026638783538056,0.9999999999973338,-1.620439893379455e-13,1.0,0.0,1.0,0.0
central_gap,4,matched_scan_speed,True,True,0.0,-3.860347225692256e-05,0.0,-3.860347225692255e-05,0.9999999999973336,-1.620439893379455e-13,1.0,0.0,1.0,0.0
central_gap,5,matched_scan_speed,True,True,0.0,-1.338066293052003e-10,0.0,-1.3380662930520011e-10,0.9999999999973338,-1.620509282318494e-13,1.0,0.0,1.0,0.0
