scenario,seed,variant,status,reason,valid,elapsed_s,reference_s,measured_forward_m,bad_path_m,valid_coverage_fraction,valid_coverage_rate_m_s,acoustic_bad_path_m,acoustic_coverage_fraction,registered_image_coverage_m,invalid_forward_travel_m,qp_failure,mechanical_violations,angular_travel_rad,central_acoustic_gap_fraction,force_active_fraction,aperture_active_fraction,controller_p50_ms,controller_p99_ms,controller_max_ms,simulated_deadline_overruns,wall_s,rmse,absolute_mean_bias,peak_absolute_error,omega_width_mechanical_mean,omega_width_force_mean,omega_width_complete_mean,source_metrics,trace_available,trace_samples,scan_samples,stop_tail_samples,measured_positive_travel_m,measured_reverse_travel_m,scan_angular_travel_rad,scan_max_abs_angle_rad,scan_end_s,scan_controller_p95_ms,scan_force_active_fraction,scan_aperture_active_fraction,scan_required_acoustic_bad_fraction,recovery_events,recovered_events,unconfirmed_events,no_acoustic_deficit,recovery_confirmed_during_scan,recovery_confirmed_during_stop_tail,scan_center_acoustic_bad_fraction,scan_omega_width_mechanical_mean,scan_omega_width_mechanical_samples,scan_omega_width_force_mean,scan_omega_width_force_samples,scan_omega_width_complete_mean,scan_omega_width_complete_samples
both_edges,2,full,aborted,mechanical_infeasible,False,3.3200000000000003,3.0,0.06,0.0,1.0,0.018072289156626505,0.0,1.0,0.05978462771939002,0.0,"{""quality_policy_version"": ""synthetic_quality_policy_v1_unverified_hardware"", ""acoustic_derivative_certified"": false, ""port_verified"": false, ""omega_interval_mechanical"": null, ""omega_interval_force_priority"": null, ""omega_interval_complete"": null, ""force_sign_reliable"": true, ""interval_diagnostics_computed"": false, ""nominal_subspace_residual"": 0.0, ""image_valid"": true, ""acquisition_loss"": 0.0, ""alpha_preferred"": 1.0, ""visual_rows_active"": true, ""visual_requests_m_s"": [-0.0012387035211524706, -0.0018231188732642965], ""gamma_effective"": [1.0, 1.0], ""quality"": [0.6548379401440588, 0.7278898591580371], ""transparent"": false, ""iterations"": 1569, ""solver_status"": ""QPSolverOutput.PROXQP_MAX_ITER_REACHED"", ""reason"": ""mechanical_rows_infeasible"", ""total_time_s"": 0.00880308193154633}",[],0.0006864389888318941,0.0,0.7545180722891566,0.0,1.7110389890149236,2.47485198546201,2.6550369802862406,0,2.3445447417907417,0.18768512773356616,0.003478983332673337,0.29218028742649116,0.02999999999999999,0.02999999999999999,0.029989006077590946,MD/contact_qp/design_v2/both_edges/2/metrics.json,True,664,614,50,0.06075342955083198,0.0,0.000686407561416678,0.0006857945375006464,3.064999999999925,2.30979189509526,0.7345276872964169,0.0,0.0,0,0,0,True,0,0,0.0,0.02999999999999999,77,0.02999999999999999,77,0.029989006077590946,77
both_edges,2,baseline,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,0.0,1.2319555971771479,1.366174544673413,1.3853868003934622,0,1.9091016419697553,0.1894984367298092,0.0017564046428911882,0.292576405325617,,,,MD/contact_qp/design_v2/both_edges/2/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,1.3224327936768532,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,2,image_only,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.0594268653497788,0.0,,[],0.024837819827266027,0.0,0.0,0.0,1.6845585778355598,2.166725560091436,2.272529061883688,0,2.2264978480525315,0.7322874397256037,0.38232298560923084,1.3693616215815672,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v2/both_edges/2/metrics.json,True,652,602,50,0.06077032646874717,0.0,0.023889240359796077,0.008254257662319502,3.004999999999926,1.994149177335202,0.0,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
both_edges,2,no_aperture,aborted,mechanical_infeasible,False,3.3200000000000003,3.0,0.06,0.0,1.0,0.018072289156626505,0.0,1.0,0.05979048667914308,0.0,"{""quality_policy_version"": ""synthetic_quality_policy_v1_unverified_hardware"", ""acoustic_derivative_certified"": false, ""port_verified"": false, ""omega_interval_mechanical"": null, ""omega_interval_force_priority"": null, ""omega_interval_complete"": null, ""force_sign_reliable"": true, ""interval_diagnostics_computed"": false, ""nominal_subspace_residual"": 0.0, ""image_valid"": true, ""acquisition_loss"": 0.0, ""alpha_preferred"": 1.0, ""visual_rows_active"": true, ""visual_requests_m_s"": [-0.0012387035211524706, -0.0018231188732642965], ""gamma_effective"": [1.0, 1.0], ""quality"": [0.6548379401440588, 0.7278898591580371], ""transparent"": false, ""iterations"": 1740, ""solver_status"": ""QPSolverOutput.PROXQP_MAX_ITER_REACHED"", ""reason"": ""mechanical_rows_infeasible"", ""total_time_s"": 0.013683804078027606}",[],0.0011094312537555616,0.0,0.7545180722891566,0.0,1.6714860685169697,2.273011985234916,2.4013840593397617,0,2.293176252162084,0.1876532548075996,0.003162611382081579,0.29218765176660977,0.02999999999999999,0.02999999999999999,0.02999999999999999,MD/contact_qp/design_v2/both_edges/2/metrics.json,True,664,614,50,0.060759288510641746,0.0,0.0011093808582746303,0.0011087738402928392,3.064999999999925,2.106550778262318,0.7345276872964169,0.0,0.0,0,0,0,True,0,0,0.0,0.02999999999999999,77,0.02999999999999999,77,0.02999999999999999,77
both_edges,2,full_consistency,aborted,mechanical_infeasible,False,3.3200000000000003,3.0,0.06,0.0,1.0,0.018072289156626505,0.0,1.0,0.0597846277161272,0.0,"{""quality_policy_version"": ""synthetic_quality_policy_v1_unverified_hardware"", ""acoustic_derivative_certified"": false, ""port_verified"": false, ""omega_interval_mechanical"": null, ""omega_interval_force_priority"": null, ""omega_interval_complete"": null, ""force_sign_reliable"": true, ""interval_diagnostics_computed"": false, ""nominal_subspace_residual"": 0.0, ""image_valid"": true, ""acquisition_loss"": 0.0, ""alpha_preferred"": 1.0, ""visual_rows_active"": true, ""visual_requests_m_s"": [-0.0012387035211524706, -0.0018231188732642965], ""gamma_effective"": [0.3724957884805531, 0.5173368116497484], ""quality"": [0.6548379401440588, 0.7278898591580371], ""transparent"": false, ""iterations"": 589, ""solver_status"": ""QPSolverOutput.PROXQP_MAX_ITER_REACHED"", ""reason"": ""mechanical_rows_infeasible"", ""total_time_s"": 0.005614204099401832}",[],0.0004635003457189397,0.0,0.7469879518072289,0.0,1.6820135060697794,2.434901997912675,2.6275510899722576,0,2.3175763010513037,0.1872986470785324,0.0027757032094752887,0.29218028742649116,0.02999999999999999,0.02999999999999999,0.029999996011559005,MD/contact_qp/design_v2/both_edges/2/metrics.json,True,664,614,50,0.06075342954776322,0.0,0.0004634889401810237,0.00046287591448414603,3.064999999999925,2.1824631025083376,0.7263843648208469,0.0,0.0,0,0,0,True,0,0,0.0,0.02999999999999999,77,0.02999999999999999,77,0.029999996011559005,77
both_edges,2,matched_scan_speed,aborted,progress_confirmation_rejected: final velocity reverses or exceeds admitted progress,False,3.3200000000000003,3.0,0.06,0.0,1.0,0.018072289156626505,0.0,1.0,0.05978462771922797,0.0,,[],0.0,0.0,0.0,0.0,1.2449300847947598,1.3841707352548838,1.4578590635210276,0,1.9594476011116058,0.18799333663250622,0.0015825880469537647,0.2919033822233308,,,,MD/contact_qp/design_v2/both_edges/2/metrics.json,True,664,614,50,0.06075342955066993,0.0,0.0,0.0,3.064999999999925,1.3424309436231852,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,2,matched_rocking,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,0.0,2.2887064842507243,2.7534010214731097,3.01447999663651,0,3.231432188069448,0.1894984367298092,0.0017564046428911882,0.292576405325617,,,,MD/contact_qp/design_v2/both_edges/2/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,2.584823057986796,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,3,full,complete,,True,3.275,3.0,0.06,0.0,1.0,0.0183206106870229,0.0,1.0,0.05993582774165305,0.0,,[],0.0001365910479385046,0.0,0.7557251908396947,0.0,1.6798761207610369,2.4391351314261565,2.5378221180289984,0,2.282260460080579,0.19156721162842508,1.0659653899423807e-05,0.2962506310423274,0.030000000000000002,0.030000000000000002,0.029999998507500875,MD/contact_qp/design_v2/both_edges/3/metrics.json,True,655,605,50,0.060791375348494193,0.0,0.00013650878990887486,0.00013649305946183195,3.019999999999926,2.160757267847657,0.7355371900826446,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999992,76,0.029999999999999992,76,0.029999997525593545,76
both_edges,3,baseline,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,0.0,1.2207025429233909,1.3558838539756835,1.3860729523003101,0,1.9042447041720152,0.19144997893095883,0.0011708846196812138,0.29599857552664144,,,,MD/contact_qp/design_v2/both_edges/3/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,1.3222025474533439,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,3,image_only,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800089130572,0.0,,[],0.019269584521790083,0.0,0.0,0.0,1.6745750326663256,2.185860446188599,2.271689008921385,0,2.2287831199355423,0.7211924182896065,0.37073818123453933,1.4130141903811309,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v2/both_edges/3/metrics.json,True,652,602,50,0.06078146276285013,0.0,0.018418199011048162,0.006490582103280876,3.004999999999926,1.9652174552902577,0.0,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
both_edges,3,no_aperture,complete,,True,3.275,3.0,0.06,0.0,1.0,0.0183206106870229,0.0,1.0,0.05993582774174006,0.0,,[],0.00024006030696662196,0.0,0.7541984732824427,0.0,1.643968978896737,2.3479603417217736,3.563827136531472,0,2.282590382033959,0.1915203357053176,7.707414095376278e-05,0.29625065369463055,0.030000000000000002,0.030000000000000002,0.030000000000000002,MD/contact_qp/design_v2/both_edges/3/metrics.json,True,655,605,50,0.060791375348574546,0.0,0.00023986516314462302,0.0002398651575182317,3.019999999999926,2.057990804314613,0.7338842975206612,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999992,76,0.029999999999999992,76,0.029999999999999992,76
both_edges,3,full_consistency,complete,,True,3.275,3.0,0.06,0.0,1.0,0.0183206106870229,0.0,1.0,0.05993582774166263,0.0,,[],0.00010188390396550544,0.0,0.7541984732824427,0.0,1.8922861199826002,3.9194396091625103,4.584986018016934,0,2.597537708003074,0.19147874101230758,0.00015835774674900535,0.29625063104230964,0.030000000000000002,0.030000000000000002,0.029999998507502547,MD/contact_qp/design_v2/both_edges/3/metrics.json,True,655,605,50,0.06079137534850319,0.0,0.00010182518012185078,0.0001018094496747951,3.019999999999926,3.17449988797307,0.7338842975206612,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999992,76,0.029999999999999992,76,0.029999997525596317,76
both_edges,3,matched_scan_speed,complete,,True,3.275,3.0,0.06,0.0,1.0,0.0183206106870229,0.0,1.0,0.059935827741491,0.0,,[],0.0,0.0,0.0,0.0,1.2575790751725435,1.4367968915030365,1.5861161518841982,0,1.99532860214822,0.1910720391459729,0.0011643059743694517,0.29625062195562357,,,,MD/contact_qp/design_v2/both_edges/3/metrics.json,True,655,605,50,0.06079137534833214,0.0,0.0,0.0,3.019999999999926,1.3630155939608812,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,3,matched_rocking,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,0.0,1.2909359065815806,2.593696331605315,2.631551120430231,0,2.414000160060823,0.19144997893095883,0.0011708846196812138,0.29599857552664144,,,,MD/contact_qp/design_v2/both_edges/3/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,2.3906329413875937,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,4,full,complete,,True,3.3200000000000003,3.0,0.06,0.0,1.0,0.018072289156626505,0.0,1.0,0.05991529358302185,0.0,,[],0.00037997953407791917,0.0,0.7680722891566265,0.0,1.7274700803682208,2.460963127668947,2.7142169419676065,0,2.335515671875328,0.1940059135470332,0.0013633547724003386,0.30078956194551854,0.02999999999999999,0.02999999999999999,0.029999999975687985,MD/contact_qp/design_v2/both_edges/4/metrics.json,True,664,614,50,0.060734934619543594,0.0,0.0003578618896989335,0.00016153868921564386,3.064999999999925,2.268673840444536,0.749185667752443,0.0,0.0,0,0,0,True,0,0,0.0,0.02999999999999999,77,0.02999999999999999,77,0.029999999975687985,77
both_edges,4,baseline,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,0.0,1.2298824731260538,1.3663549511693418,1.433341996744275,0,1.9117912240326405,0.19412542964243112,0.0010264830117405605,0.29985756106432415,,,,MD/contact_qp/design_v2/both_edges/4/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,1.3226946350187063,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,4,image_only,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.059438003211428364,0.0,,[],0.01938560813458766,0.0,0.0,0.0,1.6671065241098404,2.170940248761326,2.2443728521466255,0,2.2300297729671,0.823404752926092,0.43629736266780145,1.5067763157818659,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v2/both_edges/4/metrics.json,True,652,602,50,0.06078146398011685,0.0,0.018017029465027787,0.00975356362371297,3.004999999999926,1.9902520463801916,0.0,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
both_edges,4,no_aperture,complete,,True,3.3200000000000003,3.0,0.06,0.0,1.0,0.018072289156626505,0.0,1.0,0.05991529388185408,0.0,,[],0.000681805345283345,0.0,0.766566265060241,0.0,1.6929510748013854,2.9708551638759673,3.6858408711850643,0,2.311322818044573,0.19403421389033246,0.0014069542098464251,0.3007895620836605,0.02999999999999999,0.02999999999999999,0.02999999999999999,MD/contact_qp/design_v2/both_edges/4/metrics.json,True,664,614,50,0.0607349348876936,0.0,0.0006474990269940798,0.00027657859402642737,3.064999999999925,2.2279669297859077,0.747557003257329,0.0,0.0,0,0,0,True,0,0,0.0,0.02999999999999999,77,0.02999999999999999,77,0.02999999999999999,77
both_edges,4,full_consistency,complete,,True,3.3200000000000003,3.0,0.06,0.0,1.0,0.018072289156626505,0.0,1.0,0.05991529358087178,0.0,,[],0.0002236047632542553,0.0,0.7635542168674698,0.0,1.692773075774312,2.4315640586428344,2.5085099041461945,0,2.315497294999659,0.19365154422888062,0.0007351479696959201,0.30078956194645823,0.02999999999999999,0.02999999999999999,0.029999999972982794,MD/contact_qp/design_v2/both_edges/4/metrics.json,True,664,614,50,0.06073493461754841,0.0,0.00021351357681474208,0.00010486950836363812,3.064999999999925,2.2672723396681254,0.744299674267101,0.0,0.0,0,0,0,True,0,0,0.0,0.02999999999999999,77,0.02999999999999999,77,0.029999999972982794,77
both_edges,4,matched_scan_speed,complete,,True,3.3200000000000003,3.0,0.06,0.0,1.0,0.018072289156626505,0.0,1.0,0.059915293582859804,0.0,,[],0.0,0.0,0.0,0.0,1.2256845366209745,1.372349637094885,1.4227328356355429,0,1.9424824779853225,0.19261366728940488,0.0012959188253587434,0.30078956190869466,,,,MD/contact_qp/design_v2/both_edges/4/metrics.json,True,664,614,50,0.06073493461938155,0.0,0.0,0.0,3.064999999999925,1.3304416672326624,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,4,matched_rocking,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,0.0,1.2919205473735929,1.4710443280637264,1.546591054648161,0,2.0072507199365646,0.19412542964243112,0.0010264830117405605,0.29985756106432415,,,,MD/contact_qp/design_v2/both_edges/4/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,1.4161119586788118,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,5,full,complete,,True,3.275,3.0,0.06,0.0,1.0,0.0183206106870229,0.0,1.0,0.05994065498922999,0.0,,[],0.0001483924773859119,0.0,0.667175572519084,0.0,1.8875331152230501,3.7547229742631316,4.435908980667591,0,2.5158054211642593,0.18957971355826195,8.649921526560281e-05,0.29354064292462434,0.030000000000000002,0.030000000000000002,0.02999092456837779,MD/contact_qp/design_v2/both_edges/5/metrics.json,True,655,605,50,0.06078411621056914,0.0,0.00014839247738591204,0.00014839247622138368,3.019999999999926,3.3701716456562263,0.7223140495867768,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999992,76,0.029999999999999992,76,0.029984953889678964,76
both_edges,5,baseline,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,0.0,1.2414740631356835,1.378567188512534,1.4049489982426167,0,1.9274765001609921,0.19018667871219602,0.0013809799326068802,0.2930349547396647,,,,MD/contact_qp/design_v2/both_edges/5/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,1.3288436690345407,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,5,image_only,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05942686868405431,0.0,,[],0.030197119648486023,0.0,0.0,0.0,1.7919325036928058,3.410859636496753,4.0237861685454845,0,2.351775646209717,0.7806439112765067,0.4106416374557977,1.4712420989124038,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v2/both_edges/5/metrics.json,True,652,602,50,0.060770330875232884,0.0,0.028768722047918673,0.00937486245689987,3.004999999999926,2.906515332870185,0.0,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
both_edges,5,no_aperture,complete,,True,3.275,3.0,0.06,0.0,1.0,0.0183206106870229,0.0,1.0,0.059931393200652675,0.0,,[],0.00022743801432772577,0.0,0.665648854961832,0.0,1.6888899262994528,2.9990515485405926,3.6760030779987574,0,2.3259165049530566,0.18957176703679138,7.069259339869297e-05,0.2935584404882028,0.030000000000000002,0.030000000000000002,0.030000000000000002,MD/contact_qp/design_v2/both_edges/5/metrics.json,True,655,605,50,0.06077485442199182,0.0,0.0002274380143277259,0.00022743801277722912,3.019999999999926,2.2895860485732555,0.7206611570247934,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999992,76,0.029999999999999992,76,0.029999999999999992,76
both_edges,5,full_consistency,complete,,True,3.275,3.0,0.06,0.0,1.0,0.0183206106870229,0.0,1.0,0.059940654989226384,0.0,,[],9.128795190512269e-05,0.0,0.665648854961832,0.0,1.6649870667606592,2.375160814262927,2.461446914821863,0,2.2720070851501077,0.18945944231481873,4.38284718874268e-05,0.29354064292768767,0.030000000000000002,0.030000000000000002,0.029999999985780356,MD/contact_qp/design_v2/both_edges/5/metrics.json,True,655,605,50,0.06078411621056553,0.0,9.12879519051229e-05,9.12879506229089e-05,3.019999999999926,2.164681814610958,0.7206611570247934,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999992,76,0.029999999999999992,76,0.02999999997642532,76
