t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
2.0801,0.050866,0.050884,-0.018,0.01845,-0.03506,0.01784,-0.02811
2.1001,0.051228,0.051249,-0.020,0.01774,-0.03591,0.01698,-0.04326
2.1201,0.051576,0.051602,-0.026,0.01701,-0.03675,0.01600,-0.04884
2.1401,0.051908,0.051935,-0.027,0.01627,-0.03760,0.01528,-0.03615
2.1601,0.052226,0.052253,-0.027,0.01551,-0.03844,0.01454,-0.03702
2.1801,0.052529,0.052556,-0.027,0.01473,-0.03929,0.01374,-0.03974
2.2001,0.052815,0.052838,-0.023,0.01394,-0.04013,0.01316,-0.02938
2.2201,0.053086,0.053112,-0.026,0.01313,-0.04098,0.01213,-0.05140
2.2401,0.053340,0.053370,-0.030,0.01230,-0.04182,0.01115,-0.04872
2.2601,0.053578,0.053606,-0.028,0.01145,-0.04267,0.01046,-0.03453
2.2802,0.053799,0.053826,-0.026,0.01059,-0.04352,0.00966,-0.04038
2.3001,0.054001,0.054034,-0.033,0.00971,-0.04436,0.00844,-0.06087
2.3201,0.054187,0.054220,-0.034,0.00882,-0.04520,0.00759,-0.04251
2.3401,0.054354,0.054383,-0.029,0.00790,-0.04605,0.00692,-0.03338
2.3601,0.054503,0.054533,-0.030,0.00697,-0.04689,0.00586,-0.05309
2.3801,0.054633,0.054667,-0.034,0.00603,-0.04774,0.00476,-0.05511
2.4001,0.054744,0.054775,-0.032,0.00506,-0.04858,0.00395,-0.04021
2.4201,0.054835,0.054870,-0.035,0.00408,-0.04942,0.00278,-0.05883
2.4401,0.054907,0.054947,-0.041,0.00309,-0.05027,0.00156,-0.06102
2.4626,0.054963,0.055005,-0.042,0.00195,-0.05122,0.00042,-0.05687
2.4805,0.054990,0.055028,-0.038,0.00102,-0.05197,-0.00029,-0.03561
2.5001,0.055000,0.055033,-0.033,0.00000,0.00000,-0.00110,-0.04039
2.5201,0.055000,0.055028,-0.028,0.00000,0.00000,-0.00096,0.00730
2.5401,0.055000,0.055021,-0.021,0.00000,0.00000,-0.00066,0.01488
2.5601,0.055000,0.055013,-0.013,0.00000,0.00000,0.00000,0.03292
2.5801,0.055000,0.055009,-0.009,0.00000,0.00000,0.00000,0.00000
2.6001,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
