t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
2.5801,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.6002,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.6202,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.6402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.6601,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.6802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.7002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.7202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.7402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.7602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.7802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.8002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.8202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.8402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.8602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.8802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.9002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.9202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.9402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.9602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.9802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.0002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.0202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.0402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.0602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.0802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.1002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.1202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.1402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.1602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.1802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.2002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.2202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.2402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.2602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.2802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.3002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.3202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.3401,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.3601,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.3802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.4002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.4201,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.4401,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.4602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.4802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.5002,0.055000,0.055012,-0.012,-0.00000,-0.01576,0.00000,0.00000
3.5202,0.054997,0.055012,-0.015,-0.00027,-0.01106,0.00000,0.00000
3.5401,0.054990,0.055012,-0.022,-0.00045,-0.00718,-0.00129,-0.06469
3.5601,0.054980,0.055010,-0.030,-0.00056,-0.00422,-0.00167,-0.01903
3.5801,0.054968,0.054992,-0.025,-0.00063,-0.00227,-0.00140,0.01355
3.6001,0.054955,0.054968,-0.013,-0.00066,-0.00139,0.00000,0.07016
3.6201,0.054941,0.054953,-0.011,-0.00069,-0.00156,0.00000,0.00000
3.6402,0.054927,0.054953,-0.026,-0.00073,-0.00274,-0.00179,-0.08948
3.6601,0.054912,0.054951,-0.039,-0.00080,-0.00479,-0.00228,-0.02431
3.6801,0.054895,0.054917,-0.023,-0.00093,-0.00759,-0.00151,0.03812
3.7001,0.054874,0.054873,0.001,-0.00111,-0.01097,-0.00081,0.03532
3.7201,0.054850,0.054846,0.004,-0.00137,-0.01472,-0.00122,-0.02076
3.7401,0.054819,0.054831,-0.012,-0.00170,-0.01864,-0.00226,-0.05183
3.7601,0.054781,0.054807,-0.026,-0.00211,-0.02250,-0.00315,-0.04478
3.7801,0.054734,0.054761,-0.027,-0.00260,-0.02609,-0.00352,-0.01834
3.8001,0.054677,0.054694,-0.017,-0.00315,-0.02921,-0.00362,-0.00498
3.8201,0.054608,0.054622,-0.014,-0.00376,-0.03168,-0.00421,-0.02933
3.8401,0.054526,0.054547,-0.020,-0.00441,-0.03336,-0.00518,-0.04868
3.8601,0.054431,0.054459,-0.028,-0.00509,-0.03414,-0.00612,-0.04706
3.8801,0.054322,0.054353,-0.031,-0.00577,-0.03396,-0.00686,-0.03685
3.9001,0.054200,0.054232,-0.032,-0.00644,-0.03282,-0.00753,-0.03345
3.9201,0.054065,0.054094,-0.029,-0.00708,-0.03072,-0.00805,-0.02602
3.9401,0.053917,0.053938,-0.021,-0.00767,-0.02778,-0.00829,-0.01214
3.9601,0.053758,0.053777,-0.019,-0.00819,-0.02410,-0.00880,-0.02550
3.9801,0.053590,0.053608,-0.018,-0.00863,-0.01984,-0.00923,-0.02158
4.0001,0.053414,0.053428,-0.014,-0.00898,-0.01523,-0.00943,-0.00981
4.0201,0.053232,0.053249,-0.017,-0.00924,-0.01048,-0.00985,-0.02118
4.0401,0.053045,0.053057,-0.011,-0.00940,-0.00582,-0.00971,0.00707
4.0601,0.052856,0.052854,0.002,-0.00947,-0.00150,-0.00925,0.02295
4.0801,0.052667,0.052660,0.007,-0.00946,0.00223,-0.00917,0.00410
4.1001,0.052478,0.052472,0.007,-0.00939,0.00516,-0.00915,0.00080
4.1201,0.052292,0.052293,-0.001,-0.00926,0.00707,-0.00938,-0.01113
4.1401,0.052108,0.052112,-0.004,-0.00911,0.00783,-0.00927,0.00553
4.1601,0.051928,0.051924,0.004,-0.00896,0.00731,-0.00874,0.02616
4.1801,0.051750,0.051740,0.009,-0.00883,0.00545,-0.00845,0.01480
4.2001,0.051574,0.051569,0.005,-0.00875,0.00226,-0.00861,-0.00805
4.2201,0.051399,0.051399,0.000,-0.00875,-0.00219,-0.00879,-0.00918
4.2401,0.051224,0.051229,-0.006,-0.00884,-0.00779,-0.00910,-0.01530
4.2601,0.051045,0.051049,-0.004,-0.00906,-0.01435,-0.00919,-0.00473
4.2801,0.050860,0.050860,0.000,-0.00942,-0.02163,-0.00936,-0.00858
4.3001,0.050667,0.050676,-0.009,-0.00993,-0.02928,-0.01036,-0.04981
4.3201,0.050462,0.050482,-0.020,-0.01059,-0.03702,-0.01138,-0.05084
4.3401,0.050242,0.050275,-0.034,-0.01141,-0.04444,-0.01270,-0.06628
4.3601,0.050004,0.050045,-0.041,-0.01237,-0.05116,-0.01383,-0.05628
4.3801,0.049746,0.049786,-0.040,-0.01345,-0.05676,-0.01478,-0.04764
4.4001,0.049465,0.049503,-0.038,-0.01463,-0.06087,-0.01590,-0.05597
4.4201,0.049161,0.049205,-0.044,-0.01587,-0.06310,-0.01741,-0.07561
4.4401,0.048830,0.048880,-0.049,-0.01714,-0.06314,-0.01887,-0.07307
