scan,mode,moving_samples,acceptance_mask_differences,deferral_count_before,deferral_count_after,max_component_abs_difference,max_z_abs_difference_m_s,max_omega_abs_difference_rad_s,max_reconstructed_alpha_abs_difference,max_tank_trace_abs_difference_j,tank_end_abs_difference_j,omega_error_max_before,omega_error_max_after,pairing_error_max_before,pairing_error_max_after,energy_margin_min_before,energy_margin_min_after,mean_cost_before_s,mean_cost_after_s,p95_cost_before_s,p95_cost_after_s,max_cost_before_s,max_cost_after_s,before_velocity_violation,before_angle_violation_rad,before_consecutive_moving_slew_violation,before_aperture_violation_m_s,after_velocity_violation,after_angle_violation_rad,after_consecutive_moving_slew_violation,after_aperture_violation_m_s
003/LH_Per_S_PtD,confidence_cop_v1,4294,0,0,0,1.3241236592972418e-09,2.351149483437176e-11,1.3241236592972418e-09,8.59605031600097e-09,6.510958439065462e-12,5.704561822916787e-12,1.3021675881672024e-10,4.336808689942018e-19,1.8816713698737456e-12,7.898433340636091e-19,1.0890271020107571,1.0890271019695594,0.0023562702631515385,0.001804813696097939,0.002453119450365193,0.0018278304465638938,0.003319358002045192,0.0026065330021083355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_C_DtP,confidence_angular_v1,3862,0,0,0,1.3775568546215203e-09,1.9725862903781617e-12,1.3775568546215203e-09,4.4095016527023745e-09,1.1070297456505784e-11,1.0019568508212728e-11,1.5405310236699847e-10,1.0842021724855044e-19,1.9725862903781617e-12,4.336808689942018e-19,1.1184538114569917,1.1184538114765346,0.002305542583142767,0.0018020993008705207,0.0024031082495639565,0.001823709995005629,0.002950943999167066,0.0023480289964936674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_C_DtP,confidence_cop_v1,3862,0,0,0,1.3775568546215203e-09,9.855888349376285e-12,1.3775568546215203e-09,4.4095016527023745e-09,5.424383164864821e-12,5.39067401827964e-12,1.5405310236699847e-10,1.0842021724855044e-19,1.811006542380664e-12,3.6255987992689245e-19,1.1184538115171148,1.1184538115366656,0.002303637588538465,0.0018043514155607293,0.002401026600637124,0.0018263942019984825,0.0029180850033299066,0.002532541002437938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_C_PtD,confidence_angular_v1,3615,0,0,0,1.4647636046172867e-09,1.9947099175106567e-12,1.4647636046172867e-09,3.88927789973792e-09,1.4928044911322047e-11,1.2365039547823642e-11,1.4523794016410574e-10,1.0842021724855044e-19,1.9947099175106567e-12,4.336808689942018e-19,1.1002748945016239,1.1002748945786482,0.002356276991147948,0.0018045484771536447,0.0024456567000015637,0.001827780398161849,0.0030804010020801798,0.0023510190003435127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_C_PtD,confidence_cop_v1,3615,0,0,0,1.4647636046172867e-09,1.8052157858827744e-11,1.4647636046172867e-09,3.88927789973792e-09,6.992309509179506e-12,2.0566326419668712e-12,1.4523794016410574e-10,1.0842021724855044e-19,1.944307746842072e-12,7.335305323222241e-19,1.100274892850113,1.1002748929269885,0.002353250726970588,0.001808682369242727,0.002442795396927977,0.001828420999663649,0.0026936970025417395,0.01131951199931791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_L_DtP,confidence_angular_v1,3951,0,0,0,1.5777609703888093e-09,1.951939911787326e-12,1.5777609703888093e-09,3.97434549714859e-08,2.6076224513005286e-12,1.5805134978563729e-12,1.228627239009683e-10,1.0842021724855044e-19,1.951939911787326e-12,4.336808689942018e-19,1.1589583708526077,1.158958370848063,0.0023529576256625957,0.0018039874509935868,0.0024405764997936785,0.0018276070004503708,0.0031338479966507293,0.001924340998812113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_L_DtP,confidence_cop_v1,3951,0,0,0,1.5777609703888093e-09,1.5486984348482384e-11,1.5777609703888093e-09,3.974344864321466e-08,1.923378123436237e-12,1.8842982729694313e-12,1.228627239009683e-10,1.0842021724855044e-19,1.9516952102504738e-12,6.054167990500112e-19,1.158968293830963,1.158968293828113,0.002351644842093672,0.0018067999091650536,0.002439776999381138,0.0018298835020686965,0.003249603003496304,0.002299813997524325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_L_PtD,confidence_angular_v1,3682,0,0,0,1.04668249116752e-09,1.9631848174278833e-12,1.04668249116752e-09,6.786597506192038e-09,2.793099085351969e-12,1.819558392845977e-12,1.0800143288372532e-10,2.168404344971009e-19,1.9631848174278833e-12,4.336808689942018e-19,1.1044462432281827,1.1044462432797975,0.0023257454318485245,0.0018026278587121422,0.0024359464972803836,0.0018251048990350683,0.0029753990020253696,0.0024135709973052144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_L_PtD,confidence_cop_v1,3682,0,0,0,1.04668249116752e-09,9.850439691358459e-12,1.04668249116752e-09,6.786597506192038e-09,8.165759735057065e-12,7.31441296419888e-12,1.0800143288372532e-10,2.168404344971009e-19,1.872610680304313e-12,3.2610768469290563e-19,1.1044462420369292,1.104446242088362,0.0023246146309559928,0.0018049261832670414,0.0024342004471691325,0.0018270031992869916,0.002999598000315018,0.0026637260016286746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_S_DtP,confidence_angular_v1,4202,0,0,0,1.3544935220049004e-09,1.7596494718841538e-12,1.3544935220049004e-09,4.38922587164825e-09,8.211181734552042e-12,8.128733797185816e-12,1.311517877806978e-10,4.336808689942018e-19,1.7596494718841538e-12,4.336808689942018e-19,1.0871789348628051,1.0871789348757759,0.0023625969316733958,0.0017950600849508365,0.0024548684988985768,0.0018402188496111193,0.00321681700006593,0.0025098109981627204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
