scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
001/RH_Per_S_DtP,confidence_cop_v1,4857,4857,1.0,0,0.1,0.1090370389676088,,3.906962877228536e-11,7.384045232200926e-14,0.9999999998089742,0.002395802018542761,0.0024820471997372808,0,,
003/LH_Per_C_DtP,recorded_old,4126,4126,,0,0.1,0.1498833433288194,-0.00016992701654423273,,,0.9230414145039559,0.002597892767885103,0.003447740253250231,0,1,0.033625985778982695
003/LH_Per_C_DtP,confidence_angular_v1,4126,4126,1.0,0,0.1,0.15,-0.0005829858131567942,5.4298723623877223e-11,2.6746996544674273e-13,0.9766006862509222,0.0024112235704755926,0.002488016751158284,0,,
003/LH_Per_C_DtP,confidence_cop_v1,4126,4126,1.0,0,0.1,0.15,-0.0005863504188434452,5.4298723623877223e-11,2.6746989374269473e-13,0.9766006862509221,0.0024089401815214923,0.002483770504113636,0,,
003/LH_Per_C_PtD,recorded_old,4582,4579,,0,0.09861900926364295,0.09906227283377236,0.001329686234300998,,,0.8560495754704551,0.0027410476631140658,0.0036709021966089485,0,2,0.03461253080423479
003/LH_Per_C_PtD,confidence_angular_v1,4582,4582,1.0,0,0.1,0.1061027159007558,0.0011740632099430754,5.674370977433446e-11,2.6419121881490753e-13,0.9015470275426208,0.002407650867964139,0.002491979447950143,0,,
003/LH_Per_C_PtD,confidence_cop_v1,4582,4582,1.0,0,0.1,0.10609781740879692,0.0011636075335046806,5.674370977433446e-11,2.620886516305304e-13,0.9015470275426208,0.002407611051897858,0.0024907935519877357,0,,
003/LH_Per_L_DtP,recorded_old,4044,4044,,0,0.09999988873618841,0.1389722852111188,-0.00017325104642193642,,,0.959702684926419,0.0024122580071285755,0.0031946368999342663,0,0,0.015890113929139187
003/LH_Per_L_DtP,confidence_angular_v1,4044,4044,1.0,0,0.1,0.14190632227943425,-0.0007472892495529519,4.8957575942201984e-11,2.8203381470526214e-13,0.9980879488491463,0.0023921006706675084,0.0024770619500486648,0,,
003/LH_Per_L_DtP,confidence_cop_v1,4044,4044,1.0,0,0.1,0.14191758302064605,-0.0007484575045468799,4.8957575942201984e-11,2.912659319141954e-13,0.9980879488491463,0.002389907654005772,0.002475749847872066,0,,
003/LH_Per_L_PtD,recorded_old,3918,3918,,0,0.1,0.10041286420167847,0.0009392187394209301,,,0.9498010484658099,0.0025990986269205066,0.003437905299506383,0,0,0.0011753743210891627
003/LH_Per_L_PtD,confidence_angular_v1,3918,3918,1.0,0,0.1,0.10511148599270073,0.0009471380790010298,5.899188536754852e-11,2.7988702935161053e-13,0.9884637827775947,0.0023774838499078933,0.0024636850466777105,0,,
003/LH_Per_L_PtD,confidence_cop_v1,3918,3918,1.0,0,0.1,0.10511869456325482,0.0009457761433870988,5.899188536754852e-11,2.916764408889889e-13,0.9884637827775947,0.002377622008095682,0.0024611707453004784,0,,
003/LH_Per_S_DtP,recorded_old,4801,4799,,0,0.09996033935539489,0.14821158125399106,0.0005322692529626895,,,0.8759146835601189,0.002625688776746727,0.003484532004222274,0,1,0.02376986216586809
003/LH_Per_S_DtP,confidence_angular_v1,4801,4801,1.0,0,0.1,0.14498752357682768,2.2783201631905998e-05,3.5899752788559613e-11,1.4838022303897969e-13,0.9461702552277431,0.0023575283121938986,0.002443445999233518,0,,
003/LH_Per_S_DtP,confidence_cop_v1,4801,4801,1.0,0,0.1,0.1448777381251729,4.6025154441109363e-05,3.5899752788559613e-11,1.4700356623217038e-13,0.9461702552277431,0.0023556595317438234,0.0024418539978796616,0,,
003/LH_Per_S_PtD,recorded_old,4294,4294,,0,0.0970995226191927,0.09885561485437128,0.0016767461101681958,,,0.9209555402931439,0.0026202341521365372,0.0035238505479355804,0,0,0.02884660119687195
003/LH_Per_S_PtD,confidence_angular_v1,4294,4294,1.0,0,0.1,0.10565511000951722,0.0013444123671487013,5.898745635069612e-11,2.614323904928661e-13,0.9717411942518672,0.0023584608702805587,0.002456118402915308,0,,
003/LH_Per_S_PtD,confidence_cop_v1,4294,4294,1.0,0,0.1,0.1056539320951978,0.0013532998694711117,5.898745635069612e-11,2.5970544412184117e-13,0.9717411942518672,0.0023562702631515385,0.002453119450365193,0,,
003/RH_Per_C_DtP,recorded_old,3862,3862,,0,0.09994788408371151,0.10252402757336972,0.00015276818595401682,,,0.9414875243789804,0.002665025481134321,0.003574996948736952,0,0,0.017024094667531003
003/RH_Per_C_DtP,confidence_angular_v1,3862,3862,1.0,0,0.1,0.1100722907588623,-0.0001675318574707464,4.540755039767605e-11,1.5741150787354495e-13,0.9737653224978489,0.002305542583142767,0.0024031082495639565,0,,
003/RH_Per_C_DtP,confidence_cop_v1,3862,3862,1.0,0,0.1,0.11007289897968986,-0.00016597654328193566,4.540755039767605e-11,1.5955875720447537e-13,0.9737653224978489,0.002303637588538465,0.002401026600637124,0,,
003/RH_Per_C_PtD,recorded_old,3615,3615,,0,0.1,0.11340669681338382,0.0010731383020503309,,,0.9563682861100292,0.00277243920437345,0.003695978999166982,0,0,0.028012777092936862
003/RH_Per_C_PtD,confidence_angular_v1,3615,3615,1.0,0,0.1,0.11282100676118088,0.0007997981548985147,6.797708215770027e-11,1.8233674119183477e-13,0.9828838372301597,0.002356276991147948,0.0024456567000015637,0,,
003/RH_Per_C_PtD,confidence_cop_v1,3615,3615,1.0,0,0.1,0.11282998216053966,0.0008003134353513248,6.802090084664588e-11,1.800183410613838e-13,0.9828838372301599,0.002353250726970588,0.002442795396927977,0,,
003/RH_Per_L_DtP,recorded_old,3951,3951,,0,0.09646908977394643,0.09804717265983674,1.9568557501335386e-05,,,0.9584656308225811,0.0024528321219426893,0.0032851370015123393,0,0,0.014787768002027777
003/RH_Per_L_DtP,confidence_angular_v1,3951,3951,1.0,0,0.1,0.10993338809608354,-0.00026894892272029825,5.572354435674658e-11,1.17689928982867e-13,0.9966606510494652,0.0023529576256625957,0.0024405764997936785,0,,
003/RH_Per_L_DtP,confidence_cop_v1,3951,3951,1.0,0,0.1,0.10994023214023496,-0.00027136940644474834,5.572354435674658e-11,1.1769116395540484e-13,0.996660651049465,0.002351644842093672,0.002439776999381138,0,,
003/RH_Per_L_PtD,recorded_old,3682,3681,,0,0.09999926650985985,0.10892402131053545,0.0006588071724700027,,,0.9592070956686753,0.002584315974769619,0.0034795049461536108,0,1,0.004499869497107598
003/RH_Per_L_PtD,confidence_angular_v1,3682,3682,1.0,0,0.1,0.11011382862551165,0.0005802466735159199,4.9114154575622787e-11,9.747571673435199e-14,0.9887459022588593,0.0023257454318485245,0.0024359464972803836,0,,
003/RH_Per_L_PtD,confidence_cop_v1,3682,3682,1.0,0,0.1,0.11008333596879279,0.000586031025156133,4.9114154575622787e-11,9.565825901887581e-14,0.9887459022588593,0.0023246146309559928,0.0024342004471691325,0,,
003/RH_Per_S_DtP,recorded_old,4202,4201,,0,0.09969694477620325,0.10374082671649962,0.00024009615782932044,,,0.87584696664666,0.0027556616392175196,0.003656263254379155,0,0,0.07204617173006796
003/RH_Per_S_DtP,confidence_angular_v1,4202,4202,1.0,0,0.1,0.10960970842661194,-0.00010465759445290484,2.4265248445090466e-11,9.580228862819657e-14,0.9048734913871895,0.0023625969316733958,0.0024548684988985768,0,,
003/RH_Per_S_DtP,confidence_cop_v1,4202,4202,1.0,0,0.1,0.10956079646825959,-9.439097615987924e-05,2.4265248445090466e-11,1.1360244449711475e-13,0.9048734913871895,0.002359242356937278,0.002449523249742924,0,,
003/RH_Per_S_PtD,recorded_old,3920,3919,,0,0.1,0.11835502319179429,0.0012329993856275158,,,0.9331813851014902,0.0027283191383280702,0.003663568650517845,0,1,0.028161887461938373
003/RH_Per_S_PtD,confidence_angular_v1,3920,3920,1.0,0,0.1,0.11892650295011042,0.0009161884781043588,4.752186615140235e-11,1.1924046819378187e-13,0.9574902497548351,0.0023424794257579733,0.0024578980002843307,0,,
003/RH_Per_S_PtD,confidence_cop_v1,3920,3920,1.0,0,0.1,0.11886257859478522,0.000930497729079367,4.752186617308639e-11,1.1459416323121557e-13,0.9574902497548058,0.002341599425293754,0.0024625070032925577,0,,
007/LH_Per_C_DtP,recorded_old,3827,3819,,0,0.1,0.15,8.67360572849981e-05,,,0.9429622142057814,0.0029875216984735103,0.004106467203382635,0,9,0.02042261365029085
007/LH_Per_C_DtP,confidence_angular_v1,3827,3827,1.0,0,0.1,0.14999999999659888,-0.0005198135280133026,4.7233580449172644e-11,2.006933248061002e-13,0.9800554377703387,0.00243402046747506,0.002550727802736219,0,,
007/LH_Per_C_DtP,confidence_cop_v1,3827,3827,1.0,0,0.1,0.14999999999239852,-0.0005174786228965238,4.723358045400073e-11,1.9774266849863794e-13,0.9800554377703387,0.002434086253162753,0.00254480280491407,0,,
007/LH_Per_C_PtD,recorded_old,3308,3302,,0,0.09999806081419751,0.10423690612762755,0.0009335660992167298,,,0.9687716609558473,0.002944810346748658,0.004101707596782944,0,4,0.015952994568438655
007/LH_Per_C_PtD,confidence_angular_v1,3308,3308,1.0,0,0.1,0.10744386932988025,0.0008808913336746967,4.1974939621108486e-11,2.144670129423235e-13,0.9911777996495192,0.0024572447647894942,0.0026669572482205693,0,,
