scan,mode,moving_samples,source_age_at_proposal_p95_s,source_age_at_proposal_max_s,deadline_15ms_count_lower,deadline_15ms_count_upper,deadline_15ms_fraction_lower,deadline_15ms_fraction_upper,cost_p95_deadline_scenario_count,compute_over_5ms_count_lower,compute_over_5ms_count_upper,compute_over_5ms_fraction_lower,compute_over_5ms_fraction_upper,cost_mean_s,cost_p95_s,cost_max_s
007/RH_Per_L_DtP,confidence_cop_v1,3581,0.005187775997910649,0.009613858004740905,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002388558451899532,0.0024688159974175505,0.002961010002763942
007/RH_Per_L_PtD,confidence_angular_v1,3549,0.005246610799804329,0.011355344999174122,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023626156235813903,0.0024457762032398024,0.0027725969994207844
007/RH_Per_L_PtD,confidence_cop_v1,3549,0.005246610799804329,0.011355344999174122,0,259,0.0,0.07297830374753451,0,0,179,0.0,0.050436742744435055,0.002364410269160166,0.0024472207995131614,0.009959904004062992
007/RH_Per_S_DtP,confidence_angular_v1,3809,0.0052643429997260675,0.007535263997851871,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023690897789548134,0.0024502551998011766,0.0029052839963696897
007/RH_Per_S_DtP,confidence_cop_v1,3809,0.0052643429997260675,0.007535263997851871,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023680764956708457,0.002450661397597287,0.0030948970015742816
007/RH_Per_S_PtD,confidence_angular_v1,3782,0.0052189626509061785,0.01071424900146667,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002366103200721467,0.0024473448040225774,0.002940646001661662
007/RH_Per_S_PtD,confidence_cop_v1,3782,0.0052189626509061785,0.01071424900146667,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002366169034138102,0.0024464652025926624,0.0032780430046841502
jiaqi/LH_Per_C_DtP,confidence_angular_v1,4154,0.005042522803341853,0.007617908995598555,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023435851707560742,0.002428636898912373,0.0033714890014380217
jiaqi/LH_Per_C_DtP,confidence_cop_v1,4154,0.005042522803341853,0.007617908995598555,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002343142436517408,0.002429650200792821,0.0033901590068126097
jiaqi/LH_Per_C_PtD,confidence_angular_v1,4712,0.005166068801918299,0.009542501000396442,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002448842185028447,0.002583352548026596,0.0031141520012170076
jiaqi/LH_Per_C_PtD,confidence_cop_v1,4712,0.005166068801918299,0.009542501000396442,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024484004886177048,0.0025819319536822148,0.003185280002071522
jiaqi/LH_Per_L_DtP,confidence_angular_v1,4159,0.005139167005836498,0.009540772000036668,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024688466823596074,0.002642318303696811,0.0035258489951957017
jiaqi/LH_Per_L_DtP,confidence_cop_v1,4159,0.005139167005836498,0.009540772000036668,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024683829620175293,0.0026434295949002264,0.003427482006372884
jiaqi/LH_Per_L_PtD,confidence_angular_v1,4147,0.00511859450052725,0.011614050999924075,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024331765966433207,0.0025418504999834115,0.0032021259976318106
jiaqi/LH_Per_L_PtD,confidence_cop_v1,4147,0.00511859450052725,0.011614050999924075,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024332581191217418,0.0025425540989090223,0.0031041809997987
jiaqi/LH_Per_S_DtP,confidence_angular_v1,4334,0.005142133299887064,0.00829287400119938,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002415836807592138,0.0025083307045861147,0.003405072995519731
jiaqi/LH_Per_S_DtP,confidence_cop_v1,4334,0.005142133299887064,0.00829287400119938,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024138936871821027,0.002503975047147833,0.0030357130017364398
jiaqi/LH_Per_S_PtD,confidence_angular_v1,4809,0.005027627400704659,0.00955235800211085,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024092975273078947,0.0025006387993926184,0.0029110010000295006
jiaqi/LH_Per_S_PtD,confidence_cop_v1,4809,0.005027627400704659,0.00955235800211085,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024082954266989084,0.0024995632003992794,0.0031689800016465597
jiaqi/RH_Per_C_DtP,confidence_angular_v1,3949,0.005023506800353061,0.00792791300045792,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024335010493602596,0.002510727402113844,0.0032327700027963147
jiaqi/RH_Per_C_DtP,confidence_cop_v1,3949,0.005023506800353061,0.00792791300045792,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002432271801937357,0.0025103315987507814,0.0035053819956374355
jiaqi/RH_Per_C_PtD,confidence_angular_v1,4068,0.005099204397629361,0.007601266996061895,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002451361472277253,0.0025227309513866205,0.002953354000055697
jiaqi/RH_Per_C_PtD,confidence_cop_v1,4068,0.005099204397629361,0.007601266996061895,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002450664160008317,0.0025218790480721507,0.0030537929997080937
jiaqi/RH_Per_L_DtP,confidence_angular_v1,3906,0.005111197750011343,0.0072951149995788,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023873165351293024,0.002468654500262346,0.0026759750035125762
jiaqi/RH_Per_L_DtP,confidence_cop_v1,3906,0.005111197750011343,0.0072951149995788,0,597,0.0,0.15284178187403993,0,0,197,0.0,0.050435227854582695,0.00238618194288063,0.0024634434976178454,0.011019445999409072
jiaqi/RH_Per_L_PtD,confidence_angular_v1,3755,0.005017664500337559,0.007893214999057818,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002406818926436768,0.0024781992942735087,0.0032137189991772175
jiaqi/RH_Per_L_PtD,confidence_cop_v1,3755,0.005017664500337559,0.007893214999057818,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024035951784046458,0.0024756667997280603,0.0031748199980938807
