scenario,seed,variant,status,reason,valid,elapsed_s,reference_s,measured_forward_m,bad_path_m,valid_coverage_fraction,valid_coverage_rate_m_s,acoustic_bad_path_m,acoustic_coverage_fraction,registered_image_coverage_m,invalid_forward_travel_m,qp_failure,mechanical_violations,angular_travel_rad,force_active_fraction,aperture_active_fraction,controller_p50_ms,controller_p99_ms,controller_max_ms,simulated_deadline_overruns,wall_s,rmse,absolute_mean_bias,peak_absolute_error,omega_width_mechanical_mean,omega_width_force_mean,omega_width_complete_mean,source_metrics,trace_available,trace_samples,scan_samples,stop_tail_samples,measured_positive_travel_m,measured_reverse_travel_m,scan_angular_travel_rad,scan_max_abs_angle_rad,scan_end_s,scan_controller_p95_ms,scan_force_active_fraction,scan_aperture_active_fraction,scan_required_acoustic_bad_fraction,recovery_events,recovered_events,unconfirmed_events,no_acoustic_deficit,recovery_confirmed_during_scan,recovery_confirmed_during_stop_tail,scan_omega_width_mechanical_mean,scan_omega_width_mechanical_samples,scan_omega_width_force_mean,scan_omega_width_force_samples,scan_omega_width_complete_mean,scan_omega_width_complete_samples
delayed_execution,6,baseline,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0022998077839013475,0.9616698702683109,0.017699445465060935,0.0022998077839013475,0.9616698702683109,0.05623822448271042,0.0022998077839013475,,[],0.015793717462896838,0.0,0.0,1.2128325179219246,2.222041606437415,2.4425711017102003,0,1.9191995218861848,0.2057329095757674,0.01848106004373957,0.38099524631146187,,,,MD/contact_qp/design_v1/delayed_execution/6/metrics.json,True,652,602,50,0.06148146649202434,0.0,0.01579371746289685,0.015793717462896838,3.004999999999926,1.3324316940270364,0.0,0.0,0.036544850498338874,1,1,0,False,1,0,,0,,0,,0
delayed_execution,6,image_only,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.002299807785168112,0.9616698702471981,0.017699445464672357,0.002299807785168112,0.9616698702471981,0.05623822302011029,0.0022998077851681085,,[],0.03317897892539705,0.0,0.0,1.7087955493479967,2.1331656258553267,2.2986868862062693,0,2.207833018153906,0.9562635152381156,0.5472136128849789,1.8240585908761142,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v1/delayed_execution/6/metrics.json,True,652,602,50,0.06148146503879953,0.0,0.03276163784796801,0.011250250127108764,3.004999999999926,1.9845325732603667,0.0,0.0,0.036544850498338874,1,1,0,False,1,0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
delayed_execution,6,no_aperture,complete_with_gaps,,True,3.275,3.0,0.06,0.002299851131112557,0.9616691478147907,0.01761836606683586,0.002299851131112557,0.9616691478147907,0.05671081348640024,0.0022998511311125534,,[],0.014662670043194367,0.5648854961832062,0.0,1.6184248961508274,2.243090691044927,2.2991870064288378,0,2.2126654000021517,0.20563917688062983,0.016817616416651332,0.3829668449912371,0.030000000000000002,0.030000000000000002,0.030000000000000002,MD/contact_qp/design_v1/delayed_execution/6/metrics.json,True,655,605,50,0.06145405801553996,0.0,0.014662670043194367,0.014662670042860388,3.019999999999926,1.9755994435399764,0.6115702479338843,0.0,0.03636363636363636,1,1,0,False,1,0,0.029999999999999992,76,0.029999999999999992,76,0.029999999999999992,76
delayed_execution,6,full_consistency,complete_with_gaps,,True,3.275,3.0,0.06,0.002299851131112557,0.9616691478147907,0.01761836606683586,0.002299851131112557,0.9616691478147907,0.05671081435107911,0.0022998511311125534,,[],0.014912789717392076,0.5648854961832062,0.0,1.637419918552041,2.420329600572588,2.8691370971500874,0,2.2461730039212853,0.20566127868429424,0.016808446992807112,0.3829620815705721,0.030000000000000002,0.030000000000000002,0.029953075575620203,MD/contact_qp/design_v1/delayed_execution/6/metrics.json,True,655,605,50,0.06145405888008892,0.0,0.014912789717392086,0.014912789704319817,3.019999999999926,2.116611134260892,0.6115702479338843,0.0,0.03636363636363636,1,1,0,False,1,0,0.029999999999999992,76,0.029999999999999992,76,0.02992220424379138,76
delayed_execution,6,matched_scan_speed,complete_with_gaps,,True,3.275,3.0,0.06,0.002299851131112564,0.9616691478147906,0.01761836606683586,0.002299851131112564,0.9616691478147906,0.05671081435096408,0.002299851131112564,,[],0.01621391561781984,0.0,0.0,1.2270130682736635,1.3625674042850733,1.4184180181473494,0,1.9188488759100437,0.20551679116451174,0.016696819022954792,0.38373039647500473,,,,MD/contact_qp/design_v1/delayed_execution/6/metrics.json,True,655,605,50,0.06145405887997391,0.0,0.01621391561781983,0.01621391561781984,3.019999999999926,1.3294933829456568,0.0,0.0,0.03636363636363636,1,1,0,False,1,0,,0,,0,,0
delayed_execution,6,matched_rocking,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0028997851874398017,0.9516702468760033,0.017515403316736254,0.0028997851874398017,0.9516702468760033,0.05623822448271042,0.002899785187439805,,[],0.013167935585332042,0.0,0.0,1.2442234437912703,1.411328085232526,1.4678130391985178,0,1.917847058037296,0.20577786929557476,0.018439996248936923,0.38099524631146187,,,,MD/contact_qp/design_v1/delayed_execution/6/metrics.json,True,652,602,50,0.06148146649202434,0.0,0.013167935585332052,0.013167935585332042,3.004999999999926,1.3566718436777592,0.0,0.0,0.046511627906976744,1,1,0,False,1,0,,0,,0,,0
delayed_execution,7,full,complete_with_gaps,,True,3.295,3.0,0.06,0.0031998250550074187,0.946669582416543,0.01723829285128758,0.0031998250550074187,0.946669582416543,0.05638906657790725,0.003199825055007422,,[],0.015547330323455797,0.5705614567526556,0.0,1.6470251139253378,2.833991381339728,3.9377661887556314,0,2.2819462509360164,0.20536015200996358,0.01717413094917202,0.4027517847282338,0.029999999999999992,0.029999999999999992,0.029918715326642673,MD/contact_qp/design_v1/delayed_execution/7/metrics.json,True,659,609,50,0.061532295288693445,0.0,0.015547330323455769,0.01549249940674905,3.0399999999999254,2.292324230074883,0.6174055829228243,0.0,0.05090311986863711,1,1,0,False,1,0,0.029999999999999992,76,0.029999999999999992,76,0.029918715326642673,76
delayed_execution,7,baseline,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.003099782779747741,0.948336953670871,0.017454054362040568,0.003099782779747741,0.948336953670871,0.05623822448271042,0.003099782779747741,,[],0.01543239387095937,0.0,0.0,1.2130943359807134,1.3492348627187312,1.4334558509290218,0,1.8907623009290546,0.2050126665162759,0.01948655559824964,0.3828003155846895,,,,MD/contact_qp/design_v1/delayed_execution/7/metrics.json,True,652,602,50,0.06148146649202434,0.0,0.015432393870959361,0.01543239387095937,3.004999999999926,1.3136549619957805,0.0,0.0,0.04983388704318937,1,1,0,False,1,0,,0,,0,,0
delayed_execution,7,image_only,complete_with_gaps,,True,3.265,3.0,0.06,0.0030998228731292238,0.9483362854478463,0.017427313055703147,0.0030998228731292238,0.9483362854478463,0.05618647122265235,0.0030998228731292272,,[],0.042417389467068876,0.0,0.0,1.7459739465266466,3.423444861546161,4.151672124862671,0,2.237464184872806,1.0627440250769356,0.6192361597743998,1.9890115591739992,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v1/delayed_execution/7/metrics.json,True,653,603,50,0.06152975357393955,0.0,0.04019182877080756,0.027390067346356843,3.009999999999926,2.054218645207584,0.0,0.0,0.04975124378109453,1,1,0,False,1,0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
delayed_execution,7,no_aperture,complete_with_gaps,,True,3.295,3.0,0.06,0.003199825055007474,0.9466695824165421,0.017238292851287564,0.003199825055007474,0.9466695824165421,0.05638906650261073,0.0031998250550074776,,[],0.015554506326914326,0.5705614567526556,0.0,1.6504290979355574,2.2909767599776387,2.452197950333357,0,2.2467903629876673,0.20535621818652158,0.017162574914626763,0.40271593254902616,0.029999999999999992,0.029999999999999992,0.029999999999999992,MD/contact_qp/design_v1/delayed_execution/7/metrics.json,True,659,609,50,0.06153229521764661,0.0,0.015554506326914304,0.015469732370973833,3.0399999999999254,2.038514474406839,0.6174055829228243,0.0,0.05090311986863711,1,1,0,False,1,0,0.029999999999999992,76,0.029999999999999992,76,0.029999999999999992,76
