scan,mode,moving_samples,source_age_at_proposal_p95_s,source_age_at_proposal_max_s,deadline_15ms_count_lower,deadline_15ms_count_upper,deadline_15ms_fraction_lower,deadline_15ms_fraction_upper,cost_p95_deadline_scenario_count,compute_over_5ms_count_lower,compute_over_5ms_count_upper,compute_over_5ms_fraction_lower,compute_over_5ms_fraction_upper,cost_mean_s,cost_p95_s,cost_max_s
jiaqi/LH_Per_L_PtD,confidence_cop_v1,4147,0.00511859450052725,0.011614050999924075,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018032711963659558,0.0018252808986289892,0.002340683997317683
jiaqi/LH_Per_S_DtP,confidence_angular_v1,4334,0.005142133299887064,0.00829287400119938,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017948630414869051,0.0018166830519476206,0.002696409006603062
jiaqi/LH_Per_S_DtP,confidence_cop_v1,4334,0.005142133299887064,0.00829287400119938,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017957979441868954,0.0018174149499827763,0.001927010998770129
jiaqi/LH_Per_S_PtD,confidence_angular_v1,4809,0.005027627400704659,0.00955235800211085,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001793917267410152,0.0018180724000558257,0.002057256999250967
jiaqi/LH_Per_S_PtD,confidence_cop_v1,4809,0.005027627400704659,0.00955235800211085,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017958886097105913,0.001820320004480891,0.0026086750003742054
jiaqi/RH_Per_C_DtP,confidence_angular_v1,3949,0.005023506800353061,0.00792791300045792,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017937321812990306,0.001815608200558927,0.0019883509958162904
jiaqi/RH_Per_C_DtP,confidence_cop_v1,3949,0.005023506800353061,0.00792791300045792,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017963599333695463,0.001817369995114859,0.0022787029956816696
jiaqi/RH_Per_C_PtD,confidence_angular_v1,4068,0.005099204397629361,0.007601266996061895,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001794692012529683,0.0018174074961279985,0.002101785001286771
jiaqi/RH_Per_C_PtD,confidence_cop_v1,4068,0.005099204397629361,0.007601266996061895,0,939,0.0,0.2308259587020649,0,0,205,0.0,0.05039331366764995,0.001798462406298017,0.0018193181531387381,0.011427468998590484
jiaqi/RH_Per_L_DtP,confidence_angular_v1,3906,0.005111197750011343,0.0072951149995788,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001796391824940427,0.0018186535035056295,0.0027007749959011562
jiaqi/RH_Per_L_DtP,confidence_cop_v1,3906,0.005111197750011343,0.0072951149995788,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017989198166490441,0.0018208120036433684,0.0022924190052435733
jiaqi/RH_Per_L_PtD,confidence_angular_v1,3755,0.005017664500337559,0.007893214999057818,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017986726764464452,0.0018211715010693296,0.00216299100429751
jiaqi/RH_Per_L_PtD,confidence_cop_v1,3755,0.005017664500337559,0.007893214999057818,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001800713163450439,0.0018220310979813804,0.0027350720047252253
jiaqi/RH_Per_S_DtP,confidence_angular_v1,4335,0.005025641304382589,0.007962485004100017,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017929403126360488,0.00183138519860222,0.0024973799954750575
jiaqi/RH_Per_S_DtP,confidence_cop_v1,4335,0.005025641304382589,0.007962485004100017,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017934562513443498,0.0018309467042854522,0.002627846995892469
jiaqi/RH_Per_S_PtD,confidence_angular_v1,4317,0.0050206847969093355,0.010234899003989995,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001770603737331532,0.001812380000774283,0.0020877860006294213
jiaqi/RH_Per_S_PtD,confidence_cop_v1,4317,0.0050206847969093355,0.010234899003989995,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017714801304071221,0.0018137863997253589,0.002646066997840535
pei/LH_Per_C_DtP,confidence_angular_v1,3080,0.005243648847317672,0.010650693002389744,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017930415103518346,0.0018160200012061977,0.0025766489998204634
pei/LH_Per_C_DtP,confidence_cop_v1,3080,0.005243648847317672,0.010650693002389744,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017950092125687803,0.001818525504131685,0.002710395994654391
pei/LH_Per_L_DtP,confidence_angular_v1,3012,0.005333644052370798,0.008091258998319972,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017917409425223052,0.0018133057968952927,0.0023332880009547807
pei/LH_Per_L_DtP,confidence_cop_v1,3012,0.005333644052370798,0.008091258998319972,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017935718399484362,0.0018140070507797646,0.002047391993983183
pei/RH_Per_C_DtP,confidence_angular_v1,4063,0.005254778695234563,0.008864278999681119,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017942370995975446,0.001817665703856619,0.0020562930003507063
pei/RH_Per_C_DtP,confidence_cop_v1,4063,0.005254778695234563,0.008864278999681119,0,601,0.0,0.14792025596849617,0,0,205,0.0,0.05045532857494462,0.0017981703618123234,0.0018204187021183317,0.010695274999307003
pei/RH_Per_C_PtD,confidence_angular_v1,3910,0.005285578999246354,0.007926464000775013,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018003702386962118,0.0018239858476590599,0.002403114005574025
pei/RH_Per_C_PtD,confidence_cop_v1,3910,0.005285578999246354,0.007926464000775013,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001802185895309225,0.0018251581001095473,0.0026843480009119958
pei/RH_Per_L_DtP,confidence_angular_v1,3893,0.005269032600335776,0.010536017995036673,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017973308533200678,0.001820105999649968,0.0020046510035172105
pei/RH_Per_L_DtP,confidence_cop_v1,3893,0.005269032600335776,0.010536017995036673,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017999976375608691,0.0018223936000140383,0.0026143479990423657
pei/RH_Per_L_PtD,confidence_angular_v1,3692,0.005233789201884064,0.009431054997548927,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017981898214588638,0.0018350440532231005,0.002102900994941592
pei/RH_Per_L_PtD,confidence_cop_v1,3692,0.005233789201884064,0.009431054997548927,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017987812356540134,0.0018333461481233825,0.0025014909988385625
pei/RH_Per_S_DtP,confidence_angular_v1,4222,0.005349811346968636,0.010948665003525093,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017762978234893614,0.001819001853800728,0.0022116170002846047
pei/RH_Per_S_DtP,confidence_cop_v1,4222,0.005349811346968636,0.010948665003525093,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017769575156714977,0.0018207461023848736,0.0026289719971828163
pei/RH_Per_S_PtD,confidence_angular_v1,3976,0.005237908502749633,0.007606561994180083,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017256522983161466,0.0017577137441548984,0.0019402420002734289
pei/RH_Per_S_PtD,confidence_cop_v1,3976,0.005237908502749633,0.007606561994180083,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001727238113180903,0.0017578179995325627,0.0025603409958421253
