scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
003/RH_Per_S_DtP,confidence_cop_v1,4202,4202,1.0,0,0.1,0.10956079646162145,-9.439097706486746e-05,2.168404344971009e-19,8.470329472543003e-20,0.9048734915529822,0.0017956398817091266,0.0018398076001176376,0,,
003/RH_Per_S_PtD,recorded_old,3920,3919,,0,0.1,0.11835502319179429,0.0012329993856275158,,,0.9331813851014902,0.0027283191383280702,0.003663568650517845,0,1,0.028161887461938373
003/RH_Per_S_PtD,confidence_angular_v1,3920,3920,1.0,0,0.1,0.11892650294739936,0.0009161884735817734,1.0842021724855044e-19,0.0,0.9574902499368674,0.0017815071417020107,0.0018210674043075414,0,,
003/RH_Per_S_PtD,confidence_cop_v1,3920,3920,1.0,0,0.1,0.11886257859989147,0.0009304977218367939,1.0842021724855044e-19,1.0757847825721645e-19,0.9574902499368674,0.0017828743198522864,0.001822207244549645,0,,
007/LH_Per_C_DtP,recorded_old,3827,3819,,0,0.1,0.15,8.67360572849981e-05,,,0.9429622142057814,0.0029875216984735103,0.004106467203382635,0,9,0.02042261365029085
007/LH_Per_C_DtP,confidence_angular_v1,3827,3827,1.0,0,0.1,0.14999999999659838,-0.0005198135301594633,5.293955920339377e-23,0.0,0.9800554380163051,0.0018490467405822219,0.001871972198568983,0,,
007/LH_Per_C_DtP,confidence_cop_v1,3827,3827,1.0,0,0.1,0.14999999999239783,-0.0005174786260445895,5.293955920339377e-23,1.5666074950766827e-19,0.9800554380163051,0.0018494654321960745,0.0018711215991061181,0,,
007/LH_Per_C_PtD,recorded_old,3308,3302,,0,0.09999806081419751,0.10423690612762755,0.0009335660992167298,,,0.9687716609558473,0.002944810346748658,0.004101707596782944,0,4,0.015952994568438655
007/LH_Per_C_PtD,confidence_angular_v1,3308,3308,1.0,0,0.1,0.10744386932946022,0.0008808913284080239,1.3234889800848443e-23,0.0,0.9911777998850911,0.001838590932010598,0.001861453249512124,0,,
007/LH_Per_C_PtD,confidence_cop_v1,3308,3308,1.0,0,0.1,0.10744261770774663,0.0008870919599095682,1.3234889800848443e-23,9.887849866756101e-20,0.9911777998850911,0.0018406410053264837,0.0018625754506501834,0,,
007/LH_Per_L_DtP,recorded_old,3325,3316,,0,0.1,0.1451395806599736,-0.00011552510936441469,,,0.9720475798438775,0.0027939499789565326,0.003848750999895855,0,8,0.005136698969963829
007/LH_Per_L_DtP,confidence_angular_v1,3325,3325,1.0,0,0.1,0.1490276120362949,-0.0003366770970388708,1.3234889800848443e-23,0.0,0.9987499422647006,0.0018348025416612232,0.001857003195618745,0,,
007/LH_Per_L_DtP,confidence_cop_v1,3325,3325,1.0,0,0.1,0.1490342671072863,-0.00033788667007228517,1.3234889800848443e-23,1.067247451470005e-19,0.9987499422647006,0.0018368228376296847,0.0018590506006148644,0,,
