t_mono_s,stage,t_ref_s,fz_n,contact,vz_cmd_mm_s,vz_pose_diff_mm_s,surface_gap_mm,slack,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,rail_m,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad
937581.889509298,tracking,6.06,4.224219418135611,1,-3.0,-5.166582200754998,nan,1.266515836020131e-08,0.30929979055471046,0.17310532495076464,0.16448772618586183,-3.115855006942985,-0.21288725468080583,-3.104133337962652,0.3549561309814453,-1.4438933719012583,-1.3559114510746921,1.0001783768868127,1.731296789894593,1.359506718546299,1.4337531197346727,1.3451078054805676
937581.940033663,tracking,6.11,3.6219692901628644,1,1.7,-4.25820976748342,nan,1.0134478531322905e-08,0.30996083991438167,0.17261427338143526,0.1645857553125475,-3.113992619582183,-0.20965115270061174,-3.1037840037856728,0.3544513702392578,-1.4453944626496815,-1.3607109999912328,0.9970891766013481,1.7316808177237824,1.3633813516162552,1.434625704465837,1.3435719604799188
937581.990632568,tracking,6.17,3.8704375356498817,1,1.8,2.0210418121290195,nan,1.4197552653607396e-09,0.3105942555386134,0.1719000344917084,0.16437741557198932,-3.11165307888907,-0.20579049035644892,-3.1033366877855553,0.353720703125,-1.446319378496266,-1.3672734283913517,0.9938951809269888,1.733461007754446,1.3682858290797453,1.4350097322950264,1.3416520876500808
937582.041120429,tracking,6.22,4.245784733464693,1,-3.4,3.7604579346542737,nan,6.439907604483097e-09,0.3110818311419101,0.17135059404208502,0.16410549448199846,-3.1101865021587294,-0.2023490831178898,-3.103053107907227,0.35320938110351563,-1.4467557374408755,-1.373102821701426,0.9912073855968263,1.7361139156743284,1.3728760535346058,1.4350097322950264,1.3398019896408027
937582.091832556,tracking,6.27,4.4785221482989614,1,-10.4,-0.6041680718904793,nan,0.0005129955687396828,0.3117007747771442,0.17049623868244607,0.16404892632457618,-3.1081416207841843,-0.19817397136332482,-3.1034904408997153,0.3525862121582031,-1.447226983795765,-1.378949791874695,0.9880657876169143,1.738487591153916,1.3767156660362276,1.4346431481709772,1.338370806870994
937582.142515482,tracking,6.32,4.232114317041912,1,-3.2,-8.815970738039725,nan,5.266727229399761e-09,0.3125600204290152,0.1698515179894844,0.16436613172138984,-3.1059610583364,-0.1928498485582819,-3.1037955002423225,0.3521250152587891,-1.4477156738557946,-1.38434282624016,0.9846100697864275,1.7402154500691593,1.380293622960749,1.4334738872943777,1.3370793069003601
937582.193013132,tracking,6.37,3.7566136215370904,1,0.4,-0.43533142313911405,nan,4.9785596420423965e-09,0.31303588559431234,0.16912385041001646,0.1643308274853951,-3.104579555189634,-0.18916301585009276,-3.1039044933891624,0.35155906677246096,-1.4475236599411998,-1.388828255306126,0.9824108979372673,1.7427810063052873,1.383348002414961,1.432374268080284,1.3357353426562517
937582.243524471,tracking,6.42,3.65058502111555,1,1.2,-0.5114341763953888,nan,0.00011413388844751029,0.3138374426506157,0.16860970541830003,0.16423379062206142,-3.1029091018420867,-0.1831880788529079,-3.1036697384297445,0.3511759948730469,-1.44680820171435,-1.3953557962959646,0.9799151165216996,1.747126885730133,1.3882697904255363,1.4294421277201068,1.333588568501539
937582.29401021,tracking,6.47,3.846888255074255,1,1.6,-1.9756093969204371,nan,0.00033799667200187957,0.31478424129039656,0.16796798260443263,0.16419979996416512,-3.1006638958487582,-0.1755432830884447,-3.1037113790322732,0.3507708740234375,-1.4456736950899762,-1.4035414213804867,0.9765117298066328,1.7525898280742125,1.3939420572312962,1.4258292833853052,1.331267357295426
937582.344696051,tracking,6.52,4.008355337136495,1,0.3,2.3097515089985423,nan,8.001531330729264e-09,0.31532598553969465,0.16721469819650386,0.16402644114958398,-3.098751088930982,-0.16985120267022213,-3.1032513396158943,0.3501141357421875,-1.4442076249098876,-1.4102958636952,0.9739461069914778,1.7573371790333878,1.3984799505707366,1.4231938191705629,1.329190357961273
937582.395477592,tracking,6.57,3.9351210078221337,1,-0.2,-0.9713987883494889,nan,4.500036025405922e-09,0.31601132553914035,0.1665156767738957,0.16400140295322285,-3.096644521022659,-0.16269729401982658,-3.102979492954253,0.3495573425292969,-1.4422179772594894,-1.4177833410999579,0.9709790126419933,1.7628174319245529,1.4032796326453318,1.4194937563100614,1.3272007103108747
937582.446017992,tracking,6.62,4.041380532056046,1,0.2,-2.269879747116964,nan,1.4554210497291546e-08,0.31671958197482064,0.1660564923331968,0.16403207986738083,-3.095344554671948,-0.15587364431672035,-3.1023211241699937,0.34915435791015625,-1.4404027666604915,-1.4243108820897967,0.9685530060469856,1.7682104662900178,1.4082363080661873,1.415584235829825,1.3249667176304618
937582.496705238,tracking,6.67,3.585791538655659,1,2.3,-0.38379275164806353,nan,1.02033918525329e-08,0.3174188222090279,0.16544395152734503,0.1639813961100438,-3.0944139387274876,-0.1485227139583314,-3.102225108110805,0.3486239624023438,-1.4381164428646585,-1.431501550191065,0.9662142845567052,1.7744064437241418,1.413454905380252,1.4110812299006645,1.323448316334953
937582.547343227,tracking,6.72,4.080627687695502,1,-0.5,0.8784667684229459,nan,5.842131859748731e-09,0.3180629026711239,0.1648933015973331,0.1638759550845455,-3.093228176990147,-0.14165626594425174,-3.1019032549610976,0.3481957244873047,-1.4357950985004908,-1.4382036613903586,0.9644165842418745,1.780462738359091,1.4182371437497074,1.406456118035524,1.321580774620535
937582.597899348,tracking,6.77,4.204207083510151,1,-1.5,-1.0219193518752003,nan,9.20131098049716e-09,0.31868312493199535,0.16414157213509314,0.16388744616026849,-3.0917314658602337,-0.1348476521404418,-3.101399222084853,0.3475782775878906,-1.4334738872943777,-1.4445391884656025,0.9625141551171763,1.7861175614597107,1.4225655794694132,1.401970688969558,1.3195562395598568
937582.64870994,tracking,6.82,4.008105530775164,1,-0.5,-2.297704067883632,nan,1.6944553870262882e-08,0.31939688911196057,0.16358505356424233,0.1639473279084033,-3.0907484822396434,-0.12662280852790642,-3.1004733541620864,0.34706123352050783,-1.430471838955586,-1.4517648771352054,0.9604372223620508,1.7932385878984736,1.428168071454613,1.3963680638263039,1.3170777686913746
937582.699479265,tracking,6.87,3.7701271822639626,1,0.7,-3.7072733798345547,nan,9.836331246536545e-09,0.3200876692028164,0.16319025252486874,0.16407802429405804,-3.0903666236841953,-0.11925364135508443,-3.0996937523272843,0.3466130828857422,-1.4279062827194582,-1.4577862843598746,0.9588489796669548,1.7992249745548081,1.4332119654011686,1.3911495996702934,1.3153150223658512
937582.75001544,tracking,6.92,3.8236065264381103,1,0.3,1.9452173171808078,nan,9.48746393994719e-09,0.3206877050492254,0.16251939625024656,0.16395109222015722,-3.0892479060870355,-0.1124576080826083,-3.0992578155659287,0.3460874176025391,-1.4254977198295904,-1.4644708186959736,0.9574527508864535,1.805490726809492,1.4380815554543784,1.3863499175956981,1.313360262125733
937582.800707694,tracking,6.97,4.004043521345202,1,-0.8,2.159094905671457,nan,6.693539151373121e-09,0.3213906007664622,0.16157564849368553,0.16382415490968463,-3.087744544246876,-0.10455757817213551,-3.0986468815815247,0.34525413513183595,-1.4226702417002532,-1.472202641130746,0.956004124411505,1.8123498313550457,1.4435792520506834,1.3806776507899383,1.3113357270650547
937582.851420776,tracking,7.02,4.032062298040726,1,-0.7,0.2601636058325432,nan,4.866695437849823e-09,0.32209295731739973,0.16074795862643398,0.16379303599145167,-3.0869949924663325,-0.09710114864942354,-3.0988462969264385,0.34468544006347657,-1.420104552306071,-1.4788698649197594,0.9548696177871312,1.818999611438919,1.4483614904201387,1.374970363415844,1.3099394317055262
937582.902012075,tracking,7.07,3.968991165793452,1,0.3,-2.9705297724899524,nan,5.347308649371959e-09,0.3227023051949898,0.1603540570867894,0.163913526187664,-3.0868923823223,-0.09052978000162337,-3.098342490286549,0.34419654846191405,-1.4175389960699432,-1.483878871456035,0.9542761989172343,1.824078525953809,1.45253279963553,1.3695773290503792,1.3091016012265873
937582.952684438,tracking,7.13,3.8862071412626733,1,2.3,2.9856975435528397,nan,2.4328822737701467e-08,0.32341422142549336,0.15952444870557292,0.16375325894577134,-3.086321752302229,-0.08248631750474056,-3.0983253695222035,0.34356491088867186,-1.4145543914362912,-1.4914711442496873,0.9534559453014898,1.831635778179127,1.4582749744199042,1.3632243582699952,1.3076180873413585
937583.00341837,tracking,7.18,3.9641443823096685,1,0.3,3.2106448600017377,nan,0.0013261771244475193,0.32419747130615906,0.15875627708670365,0.16357830763600512,-3.086105339860402,-0.07476278102790657,-3.0983114901402864,0.34301864624023437,-1.4122331802301782,-1.4988887136758307,0.9527229102114455,1.8390184601949902,1.464505839264308,1.357272725865886,1.3058902284261151
937583.054014916,tracking,7.23,4.270427072738411,1,-0.8,-1.1410711915132516,nan,1.763371632492031e-08,0.3248216352079273,0.1584555673344364,0.16361295807224546,-3.086286452334662,-0.06789452875362323,-3.0973211223980104,0.3426131439208984,-1.4097373988146105,-1.5045960010499249,0.9521818224569687,1.8450573111247992,1.4700035358606132,1.351862247795281,1.3041623695108717
937583.104741027,tracking,7.28,4.1185011791889075,1,0.1,-0.094369186468708,nan,1.4145235707033863e-08,0.32537540692306105,0.15806577231124508,0.16360791403988573,-3.0869336502109683,-0.06072403713661467,-3.096384020918196,0.3422132110595703,-1.4067702378860987,-1.5105126128856994,0.9517105761020792,1.8523703514781569,1.4759377245595822,1.3460677418954867,1.301980707945879
937583.155313582,tracking,7.33,3.9028063677895464,1,1.1,-1.4630751257589516,nan,7.353561408251575e-09,0.32612230868602743,0.15704390897278822,0.1637017334108533,-3.087780009158433,-0.05331338666145213,-3.096414879874224,0.34152008056640626,-1.4045711326159658,-1.5162199002597938,0.9511869986317696,1.8599450474086148,1.4818368926902168,1.3400637783759575,1.2996769404449058
937583.206062608,tracking,7.38,3.6229693734083357,1,3.6,0.739122001522646,nan,3.5108066721875733e-06,0.32678825119769594,0.15633819580320518,0.16367386484111457,-3.0879114860331223,-0.04707336586666133,-3.0963888408839475,0.3409796142578125,-1.4027037240596023,-1.5215082723944187,0.9511521112214896,1.8655998705092345,1.4867237932905122,1.3347754062413326,1.2983853073162175
937583.256577758,tracking,7.43,3.5828188982772695,1,4.1,-1.7811463064115138,nan,1.8016473110091892e-08,0.32755551201724387,0.15593261804471126,0.16375781805222028,-3.088560975652592,-0.03957315044760401,-3.0957152892775035,0.3404776763916016,-1.4002951611697345,-1.5274248842301932,0.9511346009373223,1.8718307353536383,1.4928674396092159,1.3285096539866488,1.2970414762301634
937583.307013101,tracking,7.48,3.7876952705844857,1,2.6,1.0563993945978225,nan,6.990260802801497e-09,0.3282321214490943,0.1551871464432155,0.16372410190816927,-3.0893961921434423,-0.03261065365199145,-3.094913470512811,0.33976531982421876,-1.397956373100427,-1.5331147278991475,0.9513440585570571,1.8787771915829465,1.49927274150502,1.3225407110354541,1.294789906686556
937583.357522974,tracking,7.53,3.951132416202512,1,0.6,2.642610570638178,nan,1.2954189495788126e-08,0.3289622623456111,0.15449533204748103,0.163608818364831,-3.090880849304356,-0.02630732562162419,-3.0947969786438314,0.33926101684570314,-1.3962110704800437,-1.538141178140563,0.9520945373522414,1.8856537398336402,1.505625712285404,1.3166589866099596,1.2927304842155978
937583.408011986,tracking,7.58,3.871001650215465,1,-0.2,3.5344672139557636,nan,1.0074307754255602e-08,0.329508718291059,0.15389753321294636,0.16344994819320596,-3.0924993324567707,-0.02086344880519242,-3.0948102342426793,0.3387364196777344,-1.3941864022613109,-1.5425045012705487,0.9531068714616077,1.8917100344685893,1.511036190356009,1.3112309316761601,1.291578533886084
937583.458765249,tracking,7.63,4.2469135533524,1,-0.4,-0.6892651683222065,nan,6.1665882192060305e-09,0.330137689309269,0.15332732454589243,0.1635039864787613,-3.094250715910788,-0.015582921856674536,-3.0943488955309455,0.3380834197998047,-1.3924236559357874,-1.5456460992504608,0.9543460403168216,1.8967191741629195,1.5161151048708992,1.3056284396909605,1.2902347028000298
937583.509407383,tracking,7.68,3.992121152999275,1,0.6,-0.8157573707055821,nan,8.401444750247126e-09,0.3308189454564121,0.15263063009225433,0.16357233808488758,-3.0956139559354527,-0.010047497644697145,-3.0941808276421163,0.3376222229003906,-1.3908180361145785,-1.5489099363244074,0.9555154343514753,1.9025834548832739,1.5212290399541237,1.299781602675746,1.2879133584358624
937583.560074829,tracking,7.73,3.8301320643945385,1,0.3,3.5790493945721074,nan,4.663943710424984e-09,0.33140449971589164,0.15165998610815368,0.16343177930189465,-3.097147035041182,-0.006251634649591997,-3.0945433323662748,0.3369389343261719,-1.3898929871099397,-1.5511788164151004,0.9572607369718588,1.9073132289792547,1.525435236579795,1.2949295894857307,1.286237830636039
937583.610689847,tracking,7.78,3.9957806977957446,1,0.6,1.4058999212017353,nan,1.4141119688676854e-08,0.3321280451705171,0.1512622284974446,0.1633776783240417,-3.0995551736711655,-0.0013362296482428704,-3.0942347888594726,0.33648071289062503,-1.388444360634991,-1.553674597830668,0.9595471273467191,1.9123921434941447,1.5310551722701347,1.2887336120516069,1.2846496545199702
937583.66143405,tracking,7.83,4.0312539181997415,1,0.1,2.1224389253067617,nan,1.975133774992289e-09,0.33273349903558214,0.15087015117024383,0.16328841273803235,-3.101897760858797,0.002832332609435939,-3.0935007555294702,0.33602081298828124,-1.3868734950660078,-1.5552629071047914,0.9622000352666015,1.9173663957781948,1.5362737695841995,1.2827297816901322,1.2823457538609426
937583.712013538,tracking,7.88,4.073904056874073,1,0.2,-2.7223435655821926,nan,1.14899113747957e-08,0.33345232918575096,0.15033617546450212,0.16345227432881274,-3.1043434775101013,0.007009727023802315,-3.0924914520473634,0.3354804992675781,-1.3858786712408087,-1.555786484575101,0.9646085981564692,1.9220438387587555,1.5414747900350696,1.276847924106583,1.278994698261296
937583.762672322,tracking,7.94,3.748632586290113,1,1.1,1.9284482105561596,nan,9.233171060669912e-09,0.33416435080630935,0.14925939091184554,0.16339931714691763,-3.1071808264779426,0.010149532121477067,-3.092461707349652,0.3345589447021484,-1.385424868591059,-1.5558737031008012,0.9676280236213738,1.9263373870681813,1.5462046972891048,1.2712977632368034,1.276429142025168
937583.81337603,tracking,7.99,3.7772048085509846,1,0.5,2.151782942215006,nan,7.619258777743104e-09,0.33476857970030666,0.14864208386130193,0.16331823411197532,-3.1096558476575127,0.012740273405946523,-3.0926082144137,0.33397842407226563,-1.3848838474156095,-1.5558737031008012,0.970542720276411,1.9294964287532332,1.5499570912650265,1.2662887567005279,1.2750154029604996
