sample_t_mono_s,status_t_mono_s,force_seq,force_t_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,desired_fz_n,stage,contact,vz_cmd_mm_s,valid,stale,wrench_complete,force_source,mode,status_msg
916253.849212736,916253.846278705,6141,1788821919.8078356,0.2038873076046841,0.4311095599158999,-0.1559141299992165,0.07464455675231213,-0.025759632771875568,0.013068540333983386,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.859213568,916253.856373726,6143,1788821919.8179324,0.09321279016441089,0.18164013818810296,-0.23338871563702462,0.05503253780690241,-0.012211761836599661,0.0015892596155490449,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.869225409,916253.866520595,6145,1788821919.8280754,0.2843402849300025,0.21428504548222024,-0.2960162957474343,0.057532341846902625,-0.02547777774963078,0.0062318450537887995,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.879258614,916253.876525908,6147,1788821919.8380802,0.10535679693392615,0.04777844768439821,-0.17514799753956528,0.04631179302512602,-0.011860349118490437,-0.0035307693402629667,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.889283031,916253.886289598,6149,1788821919.847847,0.29808106311948557,0.46918565186203376,-0.32769566683403095,0.07344117970053023,-0.027895517315198175,0.011810421675779212,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.899344552,916253.896592748,6151,1788821919.8581476,0.12547593848333122,0.1361319866900002,-0.11263278452242735,0.05273859900717574,-0.01597966244624805,-0.002083393767904361,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.909345306,916253.906367026,6153,1788821919.8679235,0.17324703433307193,0.2588770523293957,-0.15567067522739966,0.06419599314331076,-0.01829433880545546,0.008530394365356502,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.91927956,916253.91631497,6155,1788821919.8778706,-0.005893119653988435,0.20937832507720533,-0.252196153321834,0.0571737077125235,-0.0039153879842875276,0.0031947379898234034,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.929342736,916253.926505803,6157,1788821919.8880625,0.10007834997375772,0.2318153133801425,-0.08430274211322518,0.058290196912142156,-0.01440873983944756,0.004317322872560314,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.939281831,916253.936630003,6159,1788821919.8981793,-0.0153661343881547,0.31217706632889497,-0.12239145792266515,0.06207553952237496,-0.007683386325181122,0.007499713632923691,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
